label,job_description
Security Analyst,"Analyze network packets for malicious traffic"
Security Analyst,"Respond to ransomware threat indicators"
Security Analyst,"Perform risk scoring and severity classification"
Security Analyst,"Review IAM policies and detect privilege escalation"
Security Analyst,"Identify gaps in security posture"
Security Analyst,"Monitor cloud IAM logs for abnormal access"
Security Analyst,"Respond to high-severity SOC alerts"
Security Analyst,"Collaborate with engineering teams to patch vulnerabilities"
Product Manager,"Define product roadmap and feature priorities"
Product Manager,"Gather requirements from stakeholders and customers"
Product Manager,"Write user stories and maintain the product backlog"
Product Manager,"Conduct competitive analysis for product positioning"
Product Manager,"Collaborate with engineering teams during sprints"
Product Manager,"Perform user research and interviews"
Product Manager,"Analyze product usage metrics to guide decisions"
Product Manager,"Define key success metrics (KPIs)"
Product Manager,"Lead sprint planning and grooming sessions"
Product Manager,"Document feature specifications"
Product Manager,"Prioritize bugs and improvements"
Product Manager,"Work closely with design teams on prototypes"
Product Manager,"Manage cross-functional communication"
Product Manager,"Conduct A/B tests to validate new features"
Product Manager,"Prepare product requirement documents (PRDs)"
Product Manager,"Define customer personas and journeys"
Product Manager,"Evaluate market opportunities and gaps"
Product Manager,"Collaborate with marketing for product launches"
Product Manager,"Monitor feature performance and iterate"
Product Manager,"Develop release plans and timelines"
Product Manager,"Ensure alignment with strategic objectives"
Product Manager,"Perform cost/benefit analysis for new initiatives"
Product Manager,"Review customer feedback and suggest enhancements"
Product Manager,"Support sales teams with product knowledge"
Product Manager,"Drive long-term product vision and strategy"
DevOps Engineer,"Maintain CI/CD pipelines for application deployment"
DevOps Engineer,"Manage Kubernetes clusters for microservices"
DevOps Engineer,"Automate infrastructure with Terraform"
DevOps Engineer,"Monitor application performance and uptime"
DevOps Engineer,"Implement scalable cloud architectures"
DevOps Engineer,"Configure load balancers and autoscaling"
DevOps Engineer,"Implement observability dashboards using Grafana"
DevOps Engineer,"Perform log aggregation with ELK stack"
DevOps Engineer,"Deploy infrastructure updates using GitOps workflows"
DevOps Engineer,"Write automation scripts using Python and Bash"
DevOps Engineer,"Manage container registries and versioning"
DevOps Engineer,"Optimize cloud cost and usage"
DevOps Engineer,"Perform incident response for infrastructure failures"
DevOps Engineer,"Implement zero-downtime deployment strategies"
DevOps Engineer,"Configure network and security rules in cloud"
DevOps Engineer,"Manage secrets using Vault or AWS Secrets Manager"
DevOps Engineer,"Improve deployment performance and reliability"
DevOps Engineer,"Analyze logs for system bottlenecks"
DevOps Engineer,"Implement blue-green and canary deployments"
DevOps Engineer,"Review application performance metrics"
DevOps Engineer,"Migrate workloads to cloud platforms"
DevOps Engineer,"Monitor Docker container health"
DevOps Engineer,"Automate environment provisioning"
DevOps Engineer,"Ensure compliance with infrastructure policies"
DevOps Engineer,"Collaborate with SRE teams to improve reliability"
Data Scientist,"Build predictive models using statistical and ML techniques"
Data Scientist,"Perform exploratory data analysis for business insights"
Data Scientist,"Engineer features for machine learning workflows"
Data Scientist,"Conduct hypothesis testing and statistical validation"
Data Scientist,"Develop clustering and segmentation models"
Data Scientist,"Create dashboards for presenting analytical results"
Data Scientist,"Perform time-series forecasting for business teams"
Data Scientist,"Build NLP models for text classification"
Data Scientist,"Experiment with deep learning architectures"
Data Scientist,"Prepare datasets for supervised learning"
Data Scientist,"Develop churn prediction models"
Data Scientist,"Analyze customer behavior using ML techniques"
Data Scientist,"Optimize models for accuracy and precision"
Data Scientist,"Deploy analytical models to production"
Data Scientist,"Perform anomaly detection using statistical methods"
Data Scientist,"Prepare Jupyter notebooks for reproducible analysis"
Data Scientist,"Visualize data patterns using Python libraries"
Data Scientist,"Conduct A/B testing for product experiments"
Data Scientist,"Build recommendation models for personalization"
Data Scientist,"Perform data cleaning and transformation"
Data Scientist,"Create feature importance analysis"
Data Scientist,"Develop experimentation frameworks"
Data Scientist,"Collaborate with stakeholders to interpret model results"
Data Scientist,"Build dashboards for exec-level reporting"
Data Scientist,"Develop validation pipelines for ML models"
